10.3723 	WARNING 	Monitor specification not found. Creating a temporary one...
241.5104 	EXP 	Sound  started
242.0105 	EXP 	Sound  started
242.5117 	EXP 	Sound  started
243.0280 	EXP 	Sound  started
243.5295 	EXP 	Sound  started
244.0321 	EXP 	Sound  started
244.5320 	EXP 	Sound  started
245.0463 	EXP 	Sound  started
245.5508 	EXP 	Sound  started
246.0472 	EXP 	Sound  started
246.5476 	EXP 	Sound  started
247.0532 	EXP 	Sound  started
247.5491 	EXP 	Sound  started
248.0486 	EXP 	Sound  started
248.5504 	EXP 	Sound  started
249.0523 	EXP 	Sound  started
249.5539 	EXP 	Sound  started
250.0689 	EXP 	Sound  started
250.5895 	EXP 	Sound  started
251.0845 	EXP 	Sound  started
251.5854 	EXP 	Sound  started
252.0869 	EXP 	Sound  started
252.5860 	EXP 	Sound  started
253.0867 	EXP 	Sound  started
253.5884 	EXP 	Sound  started
254.1046 	EXP 	Sound  started
254.6047 	EXP 	Sound  started
255.1050 	EXP 	Sound  started
255.6047 	EXP 	Sound  started
256.1053 	EXP 	Sound  started
256.6118 	EXP 	Sound  started
257.1062 	EXP 	Sound  started
257.6074 	EXP 	Sound  started
258.1101 	EXP 	Sound  started
258.6074 	EXP 	Sound  started
259.1111 	EXP 	Sound  started
262.8755 	DATA 	Mouse: Left button down, pos=(1231,815)
262.9595 	DATA 	Mouse:  Left button up, pos=(1231,815)
263.6154 	DATA 	Keypress: space
263.6691 	EXP 	window1: mouseVisible = True
